warehouseCode,productCode,productName,productLine,totalOrders,oneYearOrders,currentInventory,yearsInventoryLeft
c,S24_3420,"1937 Horch 930V Limousine","Vintage Cars",884,365.79,2902,7.93
c,S24_2022,"1938 Cadillac V-16 Presidential Limousine","Vintage Cars",955,395.17,2847,7.20
c,S18_1749,"1917 Grand Touring Sedan","Vintage Cars",918,379.86,2724,7.17
c,S24_3969,"1936 Mercedes Benz 500k Roadster","Vintage Cars",824,340.97,2081,6.10
c,S18_3856,"1941 Chevrolet Special Deluxe Cabriolet","Vintage Cars",1076,445.24,2378,5.34
c,S18_2248,"1911 Ford Town Car","Vintage Cars",832,344.28,540,1.57
c,S18_2795,"1928 Mercedes-Benz SSK","Vintage Cars",880,364.14,548,1.50
c,S32_4289,"1928 Ford Phaeton Deluxe","Vintage Cars",972,402.21,136,0.34
d,S700_2610,"The USS Constitution Ship",Ships,1020,422.07,7083,16.78
d,S700_3962,"The Queen Mary",Ships,896,370.76,5088,13.72
d,S18_3029,"1999 Yamaha Speed Boat",Ships,966,399.72,4259,10.65
d,S700_2047,"HMS Bounty",Ships,897,371.17,3501,9.43
d,S700_3505,"The Titanic",Ships,952,393.93,1956,4.97
d,S700_1138,"The Schooner Bluenose",Ships,934,386.48,1897,4.91
d,S24_2011,"18th century schooner",Ships,1011,418.34,1898,4.54
d,S700_1938,"The Mayflower",Ships,898,371.59,737,1.98
d,S72_3212,"Pont Yacht",Ships,958,396.41,414,1.04
d,S32_3207,"1950's Chicago Surface Lines Streetcar",Trains,934,386.48,8601,22.25
d,S18_3259,"Collectable Wooden Train",Trains,918,379.86,6450,16.98
d,S50_1514,"1962 City of Detroit Streetcar",Trains,966,399.72,1645,4.12
d,S18_2319,"1964 Mercedes Tour Bus","Trucks and Buses",1053,435.72,8258,18.95
d,S12_4473,"1957 Chevy Pickup","Trucks and Buses",1056,436.97,6125,14.02
d,S32_1268,"1980’s GM Manhattan Express","Trucks and Buses",911,376.97,5099,13.53
d,S32_2509,"1954 Greyhound Scenicruiser","Trucks and Buses",955,395.17,2874,7.27
d,S18_4600,"1940s Ford truck","Trucks and Buses",1061,439.03,3128,7.12
d,S18_1097,"1940 Ford Pickup Truck","Trucks and Buses",999,413.38,2613,6.32
d,S24_2300,"1962 Volkswagen Microbus","Trucks and Buses",1029,425.79,2327,5.47
d,S18_2432,"1926 Ford Fire Engine","Trucks and Buses",998,412.97,2018,4.89
d,S12_1666,"1958 Setra Bus","Trucks and Buses",972,402.21,1579,3.93
d,S50_1392,"Diamond T620 Semi-Skirted Tanker","Trucks and Buses",979,405.10,1016,2.51
d,S32_3522,"1996 Peterbilt 379 Stake Bed with Outrigger","Trucks and Buses",988,408.83,814,1.99
